tier,category,name,organization,role,region,contact,website,what_they_know,what_to_ask,status,notes,email_subject,email_draft
3,Advocacy,,Missouri NAACP,Civil rights,Statewide,,https://www.monaacp.org/,Just settled the disparity index lawsuit with AG; 2017 travel advisory,What made you sue over the disparity index? Were you aware of the Hispanic trend?,,,Missouri traffic stops story — would love to talk,"Hello,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of five years of Missouri traffic stop data — part of a public database we recently launched.

I've been following the Missouri NAACP's lawsuit over the disparity index and the settlement with the Attorney General's office in December. I'm reporting a story based on the same Vehicle Stops Report data, but focused on something the coverage has largely missed: a sharp increase in Hispanic traffic stops. I'd love to talk about what prompted the lawsuit, your view of the state of VSR reporting, and whether the Hispanic trend has been on the NAACP's radar.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
3,Advocacy,Marie-Aimée Abizera,Missouri Immigrant and Refugee Advocates (MIRA),Executive Director,Statewide,,https://www.miracoalition.org/,Statewide immigrant/refugee advocacy coalition; Rwandan genocide survivor,Statewide policy context; connections to local orgs; response to executive orders,,,Missouri traffic stops story — would love to talk,"Hi Marie-Aimée,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of five years of Missouri traffic stop data — part of a public database we recently launched.

I'm reporting a story about Missouri traffic stop patterns and their connection to the recent 287(g) expansion. Our analysis of five years of state data shows Hispanic traffic stops rose 57% between 2020 and 2024. I'd love to talk with you about MIRA's view of these trends, how the statewide coalition is responding to the enforcement environment, and what you'd want journalists to understand about the communities you serve.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
3,Advocacy,,Missouri Workers Center,Labor/workers rights,STL and KC offices,,https://moworkers.org/,Organizes low-wage workers including immigrants; roots in Stand Up KC,Worker perspectives on ICE fears; employment retaliation; meatpacking/agriculture,,,Missouri traffic stops story — would love to talk,"Hello,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of five years of Missouri traffic stop data — part of a public database we recently launched.

I'm reporting a story about Missouri traffic stop patterns and their connection to immigration enforcement, and I'm trying to understand the impact on immigrant workers — in agriculture, meatpacking, and other low-wage sectors. I'd love to talk with the Workers Center about what members are experiencing, whether traffic enforcement fear is showing up in organizing work, and connections to employment retaliation.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
4,Community org,,The Alliance of Southwest Missouri,Community services,Carthage/Monett (Jasper Co),,https://www.theallianceofswmo.org/,"Serves Jasper, Newton, Barton, McDonald counties — directly in SW Missouri Hispanic workforce area",Community impact; connections to workers; local stories,,,Missouri traffic stops story — would love to talk,"Hello,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of five years of Missouri traffic stop data — part of a public database we recently launched.

I'm reporting a story about Missouri traffic stop patterns — specifically, a sharp increase in Hispanic stops in southwest Missouri between 2020 and 2024. The Alliance has been working in Jasper, Newton, Barton, and McDonald counties for years, and I'd love to understand what you're seeing on the ground. Have families told you about traffic stop experiences? Can you connect me with community members who'd be willing to talk, or with other local organizations I should reach out to?

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
4,Community org,,Como Comunidad,Community services,Columbia,,,Organized ICE care package drives in Columbia Oct 2025,Local Columbia-area Hispanic community response,,,Missouri traffic stops story — would love to talk,"Hello,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of five years of Missouri traffic stop data — part of a public database we recently launched.

I read about Como Comunidad's care package drive in response to immigration enforcement fears. I'm reporting a story about traffic stop patterns in Missouri and their connection to ICE enforcement. I'd love to talk with your group about what the Columbia-area Hispanic community is experiencing and whether you can connect me with community members who'd be willing to share their stories.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
4,Community org,,Hand In Hand Multicultural Center,Community services,Springfield area,,,Springfield multicultural services,Community impact; local connections,,,Missouri traffic stops story — would love to talk,"Hello,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of five years of Missouri traffic stop data — part of a public database we recently launched.

I'm reporting a story about Missouri traffic stop patterns — specifically, a sharp increase in Hispanic stops in the Springfield area between 2020 and 2024. I'd love to talk with Hand In Hand about what families in the community are experiencing and whether you can connect me with community members who'd be willing to share their stories.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
4,Community org,,International Institute of St. Louis,Immigrant services,St. Louis,,https://www.iistl.org/,Since 1919 — STL's main immigrant services hub,Long-view perspective on shifts in immigrant community,,,Missouri traffic stops story — would love to talk,"Hello,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of five years of Missouri traffic stop data — part of a public database we recently launched.

The International Institute has been serving immigrant communities in St. Louis since 1919 — a perspective I'd really value for the story I'm reporting. Our analysis of Missouri traffic stop data shows a sharp increase in Hispanic stops between 2020 and 2024, concentrated in specific St. Louis-area municipalities. I'd love to talk with you about what families are experiencing and the long-view context for this shift.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
4,Community org,,Catholic Charities of St. Louis — Immigration Services,Legal/community services,St. Louis,,https://ccstl.org/services/services-for-immigrants,"DACA, naturalization, removal defense",Client stories; trends they're seeing,,,Missouri traffic stops story — would love to talk,"Hello,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of five years of Missouri traffic stop data — part of a public database we recently launched.

I'm reporting a story about Missouri traffic stop patterns and their connection to ICE enforcement. Our analysis shows a sharp increase in Hispanic stops in several St. Louis-area municipalities. I'd love to talk with Catholic Charities about what clients are experiencing, what you're seeing in removal defense cases, and whether you can connect me with individuals or families affected.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
4,Community org,,Abriendo Puertas,Family services,St. Louis,,,STL immigrant family services and workshops,Community-level impact,,,Missouri traffic stops story — would love to talk,"Hello,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of five years of Missouri traffic stop data — part of a public database we recently launched.

I'm reporting a story about Missouri traffic stop patterns and their connection to the recent expansion of immigration enforcement. I'd love to talk with Abriendo Puertas about what families in St. Louis are experiencing and whether you can connect me with community members willing to share their stories.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
4,Community org,,Advocates for Immigrant Rights,Advocacy,KC area,,,KC-area immigrant rights advocacy,Local KC metro perspective,,,Missouri traffic stops story — would love to talk,"Hello,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of five years of Missouri traffic stop data — part of a public database we recently launched.

I'm reporting a story about Missouri traffic stop patterns — specifically a sharp increase in Hispanic stops between 2020 and 2024 — and I'm trying to understand the impact in the Kansas City metro area. I'd love to talk with you about what you're seeing and whether you can connect me with community members or other local organizations.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
4,Community org,,Rural Community Workers Alliance,Labor/workers rights,Rural KC region,,,"Rural workers' rights, partnered with Advocates for Immigrant Rights",Rural worker perspective,,,Missouri traffic stops story — would love to talk,"Hello,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of five years of Missouri traffic stop data — part of a public database we recently launched.

I'm reporting a story about Missouri traffic stop patterns and their impact on immigrant communities, with a particular interest in rural Missouri and agricultural workers. I'd love to talk with you about what rural workers are experiencing and whether you can connect me with community members willing to share their experiences.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
4,Community org,Lucy Behrendt,Abide in Love,President,Rolla (Phelps Co),,,Jail support for immigrants held at Phelps County jail,Conditions at Phelps County; how people get there; stop stories,,,Missouri traffic stops story — would love to talk,"Hi Lucy,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of five years of Missouri traffic stop data — part of a public database we recently launched.

I read about Abide in Love's jail support work in the Public i and The Appeal coverage. I'm reporting a story about Missouri traffic stop patterns that connect to the ICE detentions at Phelps County Jail. I'd love to talk with you about what you're seeing through Abide in Love — how people are ending up at the jail, what their stories are, and whether you can help me connect with families of detained individuals.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
4,Community org,Amy Beechner-McCarthy,Abide in Love,Founder,Rolla (Phelps Co),,,Founded jail support group,Origin of the group; what she has seen over time,,,Missouri traffic stops story — would love to talk,"Hi Amy,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of five years of Missouri traffic stop data — part of a public database we recently launched.

I'd love to talk with you about Abide in Love — what motivated you to start it, what the group is seeing at the Phelps County Jail, and how people are ending up there. I'm reporting a story about Missouri traffic stop patterns and their connection to ICE detention, and I think Abide in Love's work is directly relevant.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
4,Community org,Susie Johnson,Abide in Love Ste. Genevieve,Board member,Ste. Genevieve,,,Jail support for immigrants at Ste. Genevieve County jail,Ste. Genevieve conditions (where López Delara ended up); family connections,,,Missouri traffic stops story — would love to talk,"Hi Susie,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of five years of Missouri traffic stop data — part of a public database we recently launched.

I read about Abide in Love's work supporting ICE detainees at the Ste. Genevieve County jail. I'm reporting a story about Missouri traffic stop patterns that connect to the ICE detention network, and Ste. Genevieve has become a key facility. I'd love to talk with you about what you're seeing — who's being held there, how they got there, and whether you can help me connect with families.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
5,Agency — VSR accountability,,Missouri State Highway Patrol,State law enforcement,Statewide,,https://www.mshp.dps.missouri.gov/,"312,976 stops in 2024 (24% of state); Hispanic stops +44%; signed 287(g) March 2025; never submitted substantive comment",Why no comments? Explain the Hispanic stop patterns; ICE referral count from traffic stops by month,,,Request for comment: Missouri State Highway Patrol traffic stop data,"Hello,

My name is Tory, and I'm a reporter with Recovered Factory, where I'm one of the founders. I'm working on a story based on the Missouri State Highway Patrol's own vehicle stop data — reported annually to the Missouri Attorney General under Section 590.650, RSMo — which we've compiled into a public database as part of our Missouri Vehicle Stops Report project.

According to our analysis of the Missouri Vehicle Stops Report, MSHP accounted for 312,976 traffic stops in 2024 — roughly a quarter of all stops in the state. Between 2020 and 2024, Hispanic traffic stops by MSHP rose 44%, and the Hispanic search rate in 2024 was 6.2% compared to 3.2% for white drivers. MSHP has also submitted its annual comment response with no accompanying explanation — a row is present in the file each year, but the comment field is empty. I'd like to give the Patrol a chance to respond to these findings and to explain the underlying enforcement context, including the March 2025 287(g) agreement.

I wanted to give the department a chance to respond before publication. Can you help me reach the appropriate person at the department? I'd be grateful for either a phone conversation or a written statement.

You can see the project and the underlying data here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
